P27-18/8,1518328.641,689614.413
P27-18/9,1518334.038,689614.233
CL,1518330.019,689655.680,P27-19,88°-05′-23.82″, F9B-B
P27-19/1,1518324.802,689661.257
P27-19/2,1518330.199,689661.077
P27-19/3,1518335.596,689660.897
P27-19/4,1518324.622,689655.860
P27-19/5,1518330.019,689655.680
P27-19/6,1518335.416,689655.500
P27-19/7,1518324.442,689650.463
P27-19/8,1518329.839,689650.283
P27-19/9,1518335.236,689650.103
CL,1518331.347,689695.537,P27-20,88°-05′-23.82″, F9B-B
P27-20/1,1518326.130,689701.114
P27-20/2,1518331.527,689700.934
P27-20/3,1518336.924,689700.754
P27-20/4,1518325.950,689695.717
P27-20/5,1518331.347,689695.537
P27-20/6,1518336.744,689695.357
P27-20/7,1518325.770,689690.320
P27-20/8,1518331.167,689690.140
P27-20/9,1518336.564,689689.960
CL,1518332.676,689735.393,P27-21,88°-05′-23.82″, F9B-B
P27-21/1,1518327.459,689740.970
P27-21/2,1518332.856,689740.790
P27-21/3,1518338.253,689740.610
P27-21/4,1518327.279,689735.573
P27-21/5,1518332.676,689735.393
P27-21/6,1518338.073,689735.213
P27-21/7,1518327.099,689730.176
P27-21/8,1518332.496,689729.996
P27-21/9,1518337.893,689729.816
CL,1518334.005,689775.249,P27-22,88°-05′-23.82″, F9B-B
P27-22/1,1518328.788,689780.826
P27-22/2,1518334.185,689780.646
P27-22/3,1518339.582,689780.466
P27-22/4,1518328.608,689775.429
P27-22/5,1518334.005,689775.249
P27-22/6,1518339.402,689775.069
P27-22/7,1518328.428,689770.032
P27-22/8,1518333.825,689769.852
P27-22/9,1518339.222,689769.672
CL,1518335.168,689810.123,P27-23,88°-05′-23.82″, F9B-B
P27-23/1,1518329.951,689815.700
P27-23/2,1518335.348,689815.520
P27-23/3,1518340.745,689815.340
P27-23/4,1518329.771,689810.303
P27-23/5,1518335.168,689810.123
P27-23/6,1518340.565,689809.943
P27-23/7,1518329.591,689804.906
P27-23/8,1518334.988,689804.726
P27-23/9,1518340.385,689804.546
CL,1518336.331,689844.997,P27-24,88°-05′-23.82″, F9B-B
P27-24/1,1518331.114,689850.574
P27-24/2,1518336.511,689850.394
P27-24/3,1518341.908,689850.214
P27-24/4,1518330.934,689845.177
P27-24/5,1518336.331,689844.997
P27-24/6,1518341.728,689844.817
P27-24/7,1518330.754,689839.780
P27-24/8,1518336.151,689839.600
P27-24/9,1518341.548,689839.420
CL,1518337.494,689879.871,P27-25,88°-05′-23.82″, F9B-B
P27-25/1,1518332.277,689885.448
P27-25/2,1518337.674,689885.268
P27-25/3,1518343.071,689885.088
P27-25/4,1518332.097,689880.051
P27-25/5,1518337.494,689879.871
P27-25/6,1518342.891,689879.691
P27-25/7,1518331.917,689874.654
P27-25/8,1518337.314,689874.474
P27-25/9,1518342.711,689874.294
CL,1518338.790,689918.731,P28-01,88°-05′-23.82″, F9B-B
P28-01/1,1518333.573,689924.308
P28-01/2,1518338.970,689924.128
P28-01/3,1518344.367,689923.948
P28-01/4,1518333.393,689918.911
P28-01/5,1518338.790,689918.731
P28-01/6,1518344.187,689918.551
P28-01/7,1518333.213,689913.514
P28-01/8,1518338.610,689913.334
P28-01/9,1518344.007,689913.154
CL,1518340.076,689957.689,P28-02,88°-09′-33.86″, F9B-B
P28-02/1,1518334.852,689963.259
P28-02/2,1518340.249,689963.086
P28-02/3,1518345.647,689962.912
P28-02/4,1518334.679,689957.862
P28-02/5,1518340.076,689957.689
P28-02/6,1518345.473,689957.515
P28-02/7,1518334.505,689952.465
P28-02/8,1518339.903,689952.291
P28-02/9,1518345.300,689952.118
CL,1518341.249,689996.681,P28-03,88°-25′-47.13″, F9B-B
P28-03/1,1518335.999,690002.227
P28-03/2,1518341.397,690002.079
P28-03/3,1518346.795,690001.931
P28-03/4,1518335.851,689996.829
P28-03/5,1518341.249,689996.681
P28-03/6,1518346.647,689996.533
P28-03/7,1518335.703,689991.431
P28-03/8,1518341.101,689991.283
P28-03/9,1518346.499,689991.135
CL,1518342.108,690031.670,P28-04,88°-45′-30.18″, F9B-B
P28-04/1,1518336.826,690037.186
P28-04/2,1518342.225,690037.069
P28-04/3,1518347.624,690036.952
P28-04/4,1518336.709,690031.787
P28-04/5,1518342.108,690031.670
P28-04/6,1518347.507,690031.553
P28-04/7,1518336.592,690026.389
P28-04/8,1518341.991,690026.272
P28-04/9,1518347.390,690026.155
CL,1518342.766,690066.664,P28-05,89°-05′-13.23″, F9B-B
P28-05/1,1518337.453,690072.149
P28-05/2,1518342.852,690072.063
P28-05/3,1518348.251,690071.977
P28-05/4,1518337.367,690066.750
P28-05/5,1518342.766,690066.664
P28-05/6,1518348.165,690066.578
P28-05/7,1518337.281,690061.351
P28-05/8,1518342.680,690061.265
P28-05/9,1518348.079,690061.179
CL,1518343.223,690101.661,P28-06,89°-24′-56.28″, F9B-B
P28-06/1,1518337.878,690107.116
P28-06/2,1518343.278,690107.061
P28-06/3,1518348.678,690107.006
P28-06/4,1518337.823,690101.716
P28-06/5,1518343.223,690101.661
P28-06/6,1518348.623,690101.606
P28-06/7,1518337.768,690096.316
P28-06/8,1518343.168,690096.261
P28-06/9,1518348.568,690096.206
CL,1518343.492,690137.659,P28-07,89°-42′-13.39″, F9B-B
P28-07/1,1518338.120,690143.087
P28-07/2,1518343.520,690143.059
P28-07/3,1518348.920,690143.031
P28-07/4,1518338.092,690137.687
P28-07/5,1518343.492,690137.659
P28-07/6,1518348.892,690137.631
P28-07/7,1518338.064,690132.287
P28-07/8,1518343.464,690132.259
P28-07/9,1518348.864,690132.231
CL,1518345.535,690443.639,P28-13,88°-45′-46.88″, F4BR-A
P28-13/1,1518344.089,690446.170
P28-13/2,1518347.089,690446.106
P28-13/3,1518346.981,690441.107
P28-13/4,1518343.981,690441.172
CL,1518346.418,690479.629,P28-14,88°-25′-30.0″, F4BR-A
P28-14/1,1518344.987,690482.169
P28-14/2,1518347.986,690482.087
P28-14/3,1518347.849,690477.089
P28-14/4,1518344.850,690477.171
CL,1518348.401,690512.583,P28-15L,88°-11′-05.5″, F2B-H
P28-15L/1,1518348.487,690515.281
P28-15L/2,1518348.315,690509.884
CL,1518316.017,690513.608,P28-15R,88°-11′-05.52″, F2B-H
P28-15R/1,1518316.103,690516.306
P28-15R/2,1518315.931,690510.909
CL,1518349.863,690549.542,P28-16L,88°-05′-21.38″, F1B-C
P28-16L/1,1518349.926,690551.416
P28-16L/2,1518349.800,690547.668
CL,1518317.370,690550.636,P28-16R,88°-05′-21.38″, F1B-C
P28-16R/1,1518317.433,690552.510
