Point,N,E,Pier No,Sta,Pier Az,F Type
CL,1518310.549,689004.393,P27-02,27089.62035,88-5-24.12,F4B-U
P27-02/1,1518314.4219004284,689008.0159328277
P27-02/2,1518306.9260671725,689008.2659004282
P27-02/3,1518306.6760995719,689000.7700671724
P27-02/4,1518314.1719328277,689000.5200995719
CL,1518311.882,689044.371,P27-03,27129.62057,88-5-24.12,F4B-U
P27-03/1,1518315.7549004282,689047.9939328277
P27-03/2,1518308.2590671724,689048.2439004282
P27-03/3,1518308.0090995717,689040.7480671724
P27-03/4,1518315.5049328275,689040.4980995719
CL,1518313.216,689084.349,P27-04,27169.62082,88-5-24.12,F4B-U
P27-04/1,1518317.0889004283,689087.9719328277
P27-04/2,1518309.5930671724,689088.2219004282
P27-04/3,1518309.3430995718,689080.7260671724
P27-04/4,1518316.8389328276,689080.4760995719
CL,1518314.549,689124.326,P27-05,27209.62004,88-5-24.12,F4B-T
P27-05/1,1518317.6223235826,689126.4747629366
P27-05/2,1518311.625656978,689126.6747370169
P27-05/3,1518311.4756764176,689122.1772370634
P27-05/4,1518317.4723430222,689121.9772629831
CL,1518315.882,689164.304,P27-06,27249.62026,88-5-24.12,F4B-T
P27-06/1,1518318.9553235825,689166.4527629366
P27-06/2,1518312.9586569779,689166.6527370169
P27-06/3,1518312.8086764175,689162.1552370634
P27-06/4,1518318.805343022,689161.9552629831
CL,1518314.966,689204.3099,P27-07,27289.574,88-5-23.82,F9B-B
P27-07/1,1518320.542984258,689209.5269151033
P27-07/2,1518315.1459845772,689209.7068996805
P27-07/3,1518309.7489848966,689209.8868842578
P27-07/4,1518320.3629996807,689204.1299154228
P27-07/5,1518314.966,689204.3099
P27-07/6,1518309.5690003193,689204.4898845772
P27-07/7,1518320.1830151035,689198.7329157422
P27-07/8,1518314.7860154228,689198.9129003194
P27-07/9,1518309.389015742,689199.0928848967
CL,1518316.128,689239.1836,P27-08,27324.467,88-5-23.82,F9B-B
P27-08/1,1518321.704984258,689244.4006151033
P27-08/2,1518316.3079845773,689244.5805996805
P27-08/3,1518310.9109848966,689244.7605842578
P27-08/4,1518321.5249996807,689239.0036154228
P27-08/5,1518316.128,689239.1836
P27-08/6,1518310.7310003194,689239.3635845772
P27-08/7,1518321.3450151035,689233.6066157422
P27-08/8,1518315.9480154228,689233.7866003194
P27-08/9,1518310.5510157421,689233.9665848967
CL,1518317.291,689274.0582,P27-09,27359.361,88-5-23.82,F4B-H
P27-09/1,1518321.8784920222,689276.6067126927
P27-09/2,1518312.8834925548,689276.906686988
P27-09/3,1518312.7035079778,689271.5096873073
P27-09/4,1518321.6985074452,689271.209713012
CL,1518318.454,689308.9318,P27-10,27394.254,88-5-23.82,F9B-B
P27-10/1,1518324.0309842578,689314.1488151033
P27-10/2,1518318.6339845771,689314.3287996806
P27-10/3,1518313.2369848965,689314.5087842578
P27-10/4,1518323.8509996806,689308.7518154228
P27-10/5,1518318.454,689308.9318
P27-10/6,1518313.0570003192,689309.1117845773
P27-10/7,1518323.6710151033,689303.3548157422
P27-10/8,1518318.2740154227,689303.5348003195
P27-10/9,1518312.877015742,689303.7147848967
